time_s,gyro_pitch_rad_s
22.65,0.17710790905452584
22.66,0.14506448414548112
22.67,0.16368954745845646
22.68,0.15307199059831417
22.69,0.1549003084348105
22.7,0.15677787485112915
22.71,0.1460010134007605
22.72,0.1416777483838228
22.73,0.14632989092456675
22.74,0.13266405640088808
22.75,0.13022356523471693
22.76,0.14542047693729143
22.77,0.12468576719711034
22.78,0.14038817382599883
22.79,0.1359089550667951
22.8,0.11159182616672474
22.81,0.11965209352007745
22.82,0.1359597443171806
22.83,0.1118129682693948
22.84,0.11460354775469324
22.85,0.12151002128291087
22.86,0.12238578776487656
22.87,0.10972133754418474
22.88,0.10397049903925258
22.89,0.12190379542853448
22.9,0.12283073453719909
22.91,0.11302056314525406
22.92,0.10190540602930775
22.93,0.09082113623481164
22.94,0.08848351179186095
22.95,0.09993105758030048
22.96,0.09684280145906785
22.97,0.104663733926445
22.98,0.0951782289907341
22.99,0.07170692423883063
23.0,0.0953601332628581
23.01,0.07300276774865506
23.02,0.07732696803096738
23.03,0.08189332952067975
23.04,0.09761468803158525
23.05,0.10706657244439831
23.06,0.08038727985339372
23.07,0.07088458741164842
23.08,0.076502463832145
23.09,0.07851962768274796
23.1,0.06496729529787669
23.11,0.08470259316990013
23.12,0.06767364255232022
23.13,0.06901906668007235
23.14,0.06941608495248422
23.15,0.06573464479444556
23.16,0.06871703813303512
23.17,0.05301102852103427
23.18,0.05250366490253819
23.19,0.04603554755485385
23.2,0.060429855470779864
23.21,0.06286933886145205
23.22,0.05875021438532546
23.23,0.07005728055136988
23.24,0.05244357716615873
23.25,0.05842137357841892
23.26,0.040098511330591655
23.27,0.04647311250589499
23.28,0.05667496507503668
23.29,0.05763281753345724
23.3,0.04567089058028488
23.31,0.04740969196768213
23.32,0.03250822169602931
23.33,0.04372386586613461
23.34,0.05585087134320636
23.35,0.05239740015162926
23.36,0.051395478416342094
23.37,0.046674910743660605
23.38,0.046080749030218165
23.39,0.039284139734489826
23.4,0.052796848930278154
23.41,0.0499831688783013
23.42,0.050701837094468294
23.43,0.040572510141004894
23.44,0.024393300063372255
23.45,0.05703444216842736
23.46,0.04145269080658366
23.47,0.0378330677547412
23.48,0.05365662584776684
23.49,0.04310361159968171
23.5,0.057965529331213725
23.51,0.05391881323182168
23.52,0.05500682932051658
23.53,0.03497338816805746
23.54,0.061253253812820804
23.55,0.05228588052234266
23.56,0.04655849166496177
23.57,0.05230099762412681
23.58,0.0337582099049256
23.59,0.056297778713659416
23.6,0.04264510544077329
23.61,0.040176214831236554
23.62,0.03927959953735809
23.63,0.06646617870951525
23.64,0.04991825212752361
23.65,0.0724549042605317
23.66,0.05270117117257142
23.67,0.041961655411885526
23.68,0.04888020908755871
23.69,0.07344764236189089
23.7,0.060608162488244924
23.71,0.0577951327834884
23.72,0.06602199777886988
23.73,0.07061611310720785
23.74,0.07798112425514601
23.75,0.08253308630833027
23.76,0.06572320847626914
23.77,0.05736480570794342
23.78,0.06782635748013684
23.79,0.07593064044851046
23.8,0.06508794197954289
23.81,0.06658236644555718
23.82,0.08105053551305585
23.83,0.07861514881835839
23.84,0.08094869995978526
23.85,0.0745846937716938
23.86,0.08144424402363162
23.87,0.07611404845993855
23.88,0.09589586563329677
23.89,0.09901310816987502
23.9,0.07189457075299116
